subject_id,image_name_1,image_name_2,image_name_3,source_name,ra,dec,#size
92,ILTJ143352.41+325254.4_I.png,ILTJ143352.41+325254.4_Ip.png,ILTJ143352.41+325254.4_S.png,ILTJ143352.41+325254.4,218.468387,32.881804,30.000000
94,ILTJ143353.28+354243.9_I.png,ILTJ143353.28+354243.9_Ip.png,ILTJ143353.28+354243.9_S.png,ILTJ143353.28+354243.9,218.471996,35.712195,30.000000
91,ILTJ143355.66+341105.8_I.png,ILTJ143355.66+341105.8_Ip.png,ILTJ143355.66+341105.8_S.png,ILTJ143355.66+341105.8,218.481932,34.184964,40.000000
89,ILTJ143356.78+332955.5_I.png,ILTJ143356.78+332955.5_Ip.png,ILTJ143356.78+332955.5_S.png,ILTJ143356.78+332955.5,218.479878,33.493395,60.000000
90,ILTJ143400.07+354727.9_I.png,ILTJ143400.07+354727.9_Ip.png,ILTJ143400.07+354727.9_S.png,ILTJ143400.07+354727.9,218.500287,35.791101,30.000000
88,ILTJ143407.20+355316.4_I.png,ILTJ143407.20+355316.4_Ip.png,ILTJ143407.20+355316.4_S.png,ILTJ143407.20+355316.4,218.530004,35.887902,40.000000
87,ILTJ143408.19+341934.9_I.png,ILTJ143408.19+341934.9_Ip.png,ILTJ143408.19+341934.9_S.png,ILTJ143408.19+341934.9,218.534130,34.326365,30.000000
86,ILTJ143409.23+350835.0_I.png,ILTJ143409.23+350835.0_Ip.png,ILTJ143409.23+350835.0_S.png,ILTJ143409.23+350835.0,218.538461,35.143066,30.000000
85,ILTJ143410.03+332818.5_I.png,ILTJ143410.03+332818.5_Ip.png,ILTJ143410.03+332818.5_S.png,ILTJ143410.03+332818.5,218.541807,33.471818,40.000000
84,ILTJ143410.36+331144.4_I.png,ILTJ143410.36+331144.4_Ip.png,ILTJ143410.36+331144.4_S.png,ILTJ143410.36+331144.4,218.543176,33.195672,90.000000
82,ILTJ143413.79+345504.5_I.png,ILTJ143413.79+345504.5_Ip.png,ILTJ143413.79+345504.5_S.png,ILTJ143413.79+345504.5,218.557464,34.917926,40.000000
83,ILTJ143414.16+334249.6_I.png,ILTJ143414.16+334249.6_Ip.png,ILTJ143414.16+334249.6_S.png,ILTJ143414.16+334249.6,218.559014,33.713798,30.000000
81,ILTJ143417.52+345718.6_I.png,ILTJ143417.52+345718.6_Ip.png,ILTJ143417.52+345718.6_S.png,ILTJ143417.52+345718.6,218.572994,34.955184,30.000000
79,ILTJ143422.01+340512.7_I.png,ILTJ143422.01+340512.7_Ip.png,ILTJ143422.01+340512.7_S.png,ILTJ143422.01+340512.7,218.591716,34.086862,30.000000
80,ILTJ143423.12+345257.3_I.png,ILTJ143423.12+345257.3_Ip.png,ILTJ143423.12+345257.3_S.png,ILTJ143423.12+345257.3,218.596349,34.882600,30.000000
77,ILTJ143423.29+331432.0_I.png,ILTJ143423.29+331432.0_Ip.png,ILTJ143423.29+331432.0_S.png,ILTJ143423.29+331432.0,218.597052,33.242232,30.000000
76,ILTJ143425.03+344842.9_I.png,ILTJ143425.03+344842.9_Ip.png,ILTJ143425.03+344842.9_S.png,ILTJ143425.03+344842.9,218.604304,34.811943,50.000000
75,ILTJ143426.19+342811.5_I.png,ILTJ143426.19+342811.5_Ip.png,ILTJ143426.19+342811.5_S.png,ILTJ143426.19+342811.5,218.609110,34.469865,40.000000
78,ILTJ143426.22+353205.5_I.png,ILTJ143426.22+353205.5_Ip.png,ILTJ143426.22+353205.5_S.png,ILTJ143426.22+353205.5,218.609232,35.534874,30.000000
74,ILTJ143430.56+330129.3_I.png,ILTJ143430.56+330129.3_Ip.png,ILTJ143430.56+330129.3_S.png,ILTJ143430.56+330129.3,218.627338,33.024808,30.000000
73,ILTJ143436.50+342812.7_I.png,ILTJ143436.50+342812.7_Ip.png,ILTJ143436.50+342812.7_S.png,ILTJ143436.50+342812.7,218.652089,34.470197,40.000000
72,ILTJ143439.72+350829.3_I.png,ILTJ143439.72+350829.3_Ip.png,ILTJ143439.72+350829.3_S.png,ILTJ143439.72+350829.3,218.665481,35.141472,40.000000
71,ILTJ143440.24+345314.7_I.png,ILTJ143440.24+345314.7_Ip.png,ILTJ143440.24+345314.7_S.png,ILTJ143440.24+345314.7,218.667649,34.887441,40.000000
69,ILTJ143441.72+331702.2_I.png,ILTJ143441.72+331702.2_Ip.png,ILTJ143441.72+331702.2_S.png,ILTJ143441.72+331702.2,218.673813,33.283959,30.000000
70,ILTJ143442.87+342440.7_I.png,ILTJ143442.87+342440.7_Ip.png,ILTJ143442.87+342440.7_S.png,ILTJ143442.87+342440.7,218.678628,34.411311,30.000000
68,ILTJ143443.30+334400.0_I.png,ILTJ143443.30+334400.0_Ip.png,ILTJ143443.30+334400.0_S.png,ILTJ143443.30+334400.0,218.680433,33.733351,40.000000
65,ILTJ143445.82+332818.1_I.png,ILTJ143445.82+332818.1_Ip.png,ILTJ143445.82+332818.1_S.png,ILTJ143445.82+332818.1,218.690932,33.471714,30.000000
